Exon_Genomic_Coordinates	Exon_Ensembl_Transcript_ID	Exon_Gene_Symbol	Exon_Number	Min_Coverage_B48324	Max_Coverage_B48324	Mean_Coverage_B48324	Median_Coverage_B48324	Min_Coverage_B48325	Max_Coverage_B48325	Mean_Coverage_B48325	Median_Coverage_B48325	Min_Coverage_B48326	Max_Coverage_B48326	Mean_Coverage_B48326	Median_Coverage_B48326	Min_Coverage_B48327	Max_Coverage_B48327	Mean_Coverage_B48327	Median_Coverage_B48327	Min_Coverage_B48328	Max_Coverage_B48328	Mean_Coverage_B48328	Median_Coverage_B48328	Min_Coverage_B48329	Max_Coverage_B48329	Mean_Coverage_B48329	Median_Coverage_B48329	Min_Coverage_B48330	Max_Coverage_B48330	Mean_Coverage_B48330	Median_Coverage_B48330	Min_Coverage_B48331	Max_Coverage_B48331	Mean_Coverage_B48331	Median_Coverage_B48331	Min_Coverage_B48332	Max_Coverage_B48332	Mean_Coverage_B48332	Median_Coverage_B48332	Min_Coverage_B48333	Max_Coverage_B48333	Mean_Coverage_B48333	Median_Coverage_B48333	Min_Coverage_B48334	Max_Coverage_B48334	Mean_Coverage_B48334	Median_Coverage_B48334	Min_Coverage_B48335	Max_Coverage_B48335	Mean_Coverage_B48335	Median_Coverage_B48335	Min_Coverage_B48336	Max_Coverage_B48336	Mean_Coverage_B48336	Median_Coverage_B48336	Min_Coverage_B48337	Max_Coverage_B48337	Mean_Coverage_B48337	Median_Coverage_B48337	Min_Coverage_B48338	Max_Coverage_B48338	Mean_Coverage_B48338	Median_Coverage_B48338	Min_Coverage_B48339	Max_Coverage_B48339	Mean_Coverage_B48339	Median_Coverage_B48339	Min_Coverage_B48340	Max_Coverage_B48340	Mean_Coverage_B48340	Median_Coverage_B48340	Min_Coverage_B48341	Max_Coverage_B48341	Mean_Coverage_B48341	Median_Coverage_B48341	Min_Coverage_B48342	Max_Coverage_B48342	Mean_Coverage_B48342	Median_Coverage_B48342	Min_Coverage_B48343	Max_Coverage_B48343	Mean_Coverage_B48343	Median_Coverage_B48343	Min_Coverage_B48344	Max_Coverage_B48344	Mean_Coverage_B48344	Median_Coverage_B48344	Min_Coverage_B48345	Max_Coverage_B48345	Mean_Coverage_B48345	Median_Coverage_B48345	Min_Coverage_B48346	Max_Coverage_B48346	Mean_Coverage_B48346	Median_Coverage_B48346	Min_Coverage_B48347	Max_Coverage_B48347	Mean_Coverage_B48347	Median_Coverage_B48347	Min_Coverage_B48348	Max_Coverage_B48348	Mean_Coverage_B48348	Median_Coverage_B48348	Min_Coverage_B48349	Max_Coverage_B48349	Mean_Coverage_B48349	Median_Coverage_B48349	Min_Coverage_B48350	Max_Coverage_B48350	Mean_Coverage_B48350	Median_Coverage_B48350	Min_Coverage_B48351	Max_Coverage_B48351	Mean_Coverage_B48351	Median_Coverage_B48351	Min_Coverage_B48352	Max_Coverage_B48352	Mean_Coverage_B48352	Median_Coverage_B48352	Min_Coverage_B48353	Max_Coverage_B48353	Mean_Coverage_B48353	Median_Coverage_B48353	Min_Coverage_B48354	Max_Coverage_B48354	Mean_Coverage_B48354	Median_Coverage_B48354	Min_Coverage_B48355	Max_Coverage_B48355	Mean_Coverage_B48355	Median_Coverage_B48355	Min_Coverage_B48356	Max_Coverage_B48356	Mean_Coverage_B48356	Median_Coverage_B48356	Min_Coverage_B48357	Max_Coverage_B48357	Mean_Coverage_B48357	Median_Coverage_B48357	Min_Coverage_B48358	Max_Coverage_B48358	Mean_Coverage_B48358	Median_Coverage_B48358	Min_Coverage_B48359	Max_Coverage_B48359	Mean_Coverage_B48359	Median_Coverage_B48359	Min_Coverage_B48360	Max_Coverage_B48360	Mean_Coverage_B48360	Median_Coverage_B48360	Min_Coverage_B48361	Max_Coverage_B48361	Mean_Coverage_B48361	Median_Coverage_B48361	Min_Coverage_B48362	Max_Coverage_B48362	Mean_Coverage_B48362	Median_Coverage_B48362	Min_Coverage_B48363	Max_Coverage_B48363	Mean_Coverage_B48363	Median_Coverage_B48363	Min_Coverage_B48364	Max_Coverage_B48364	Mean_Coverage_B48364	Median_Coverage_B48364
chr10:89624205-89725256	PTEN	PTEN	exon_1	0	187	2.31567228429209	0.0	0	252	4.447011904879714	0.0	0	171	2.7812589682437583	0.0	0	280	3.486892757122641	0.0	0	270	4.915151755054379	0.0	0	220	3.187410317562419	0.0	0	530	11.010925176396077	0.0	0	153	1.2490722506457135	0.0	0	56	0.6140364766306122	0.0	0	116	0.6518688582992747	0.0	0	142	1.6183412336345013	0.0	0	142	0.8012983542963454	0.0	0	99	0.7809422964641617	0.0	0	130	1.76262481321313	0.0	0	233	3.228597440896181	0.0	0	75	0.33665178969035436	0.0	0	112	1.251754064779171	0.0	0	141	1.2831738429110053	0.0	0	165	2.039920436215376	0.0	0	123	1.340560706969748	0.0	0	177	1.696193011449664	0.0	0	410	7.052805019247707	0.0	0	568	7.540568623764238	0.0	0	487	9.12278948253852	0.0	0	333	6.702387903138019	0.0	0	156	2.0989203471514384	0.0	0	240	4.558064739586941	0.0	0	141	2.4868036931846293	0.0	0	389	7.449832262916745	0.0	0	310	5.472632631047689	0.0	0	594	10.047292951084106	0.0	0	546	6.954884167400619	0.0	0	411	7.5039732412346245	0.0	0	132	1.5236761635213902	0.0	0	180	1.5330080850263728	0.0	0	20	0.1327151636302461	0.0	0	184	2.003641725465359	0.0	0	152	0.8886799734787385	0.0	0	244	3.742516155208756	0.0	0	135	1.4413118128469782	0.0	0	444	7.415651502706554	0.0
chr10:90750588-90774221	FAS	ACTA2,FAS	exon_1,exon_1	0	317	14.72199889984344	0.0	0	363	23.23890322853637	0.0	0	223	16.101595227013075	0.0	0	288	16.556636906021243	0.0	0	378	22.254643930097746	0.0	0	294	17.82444040113401	0.0	0	767	52.60529767697711	0.0	0	169	6.953835738162739	0.0	0	69	2.3135023060974063	0.0	0	91	2.3955062835865104	0.0	0	298	7.750899166419837	0.0	0	66	2.389836245927305	0.0	0	146	3.3609782930647825	0.0	0	277	9.163415562983964	0.0	0	349	15.39042863792155	0.0	0	52	0.8318876147759489	0.0	0	178	4.798417467101087	0.0	0	157	6.359708881648542	0.0	0	236	9.864553801887192	0.0	0	152	5.062116531968011	0.0	0	266	7.055515592603562	0.0	0	488	33.542250243303855	0.0	0	525	31.838911691279144	0.0	0	559	39.43413870435408	0.0	0	452	31.605086108407736	0.0	0	266	10.863072821901579	0.0	0	326	20.698853298353995	0.0	0	225	13.19413531925697	0.0	0	461	34.687386281893964	0.0	0	366	26.617060889434267	0.0	0	703	47.14407819574324	0.0	0	616	36.637794609232856	0.0	0	465	34.74201328650616	0.0	0	164	6.925612491008335	0.0	0	147	5.315152540938518	0.0	0	33	0.6140143020352896	0.0	0	250	9.433461684932087	0.0	0	72	2.3563660982524435	0.0	0	302	17.347776414335886	0.0	0	136	5.334405280751492	0.0	0	527	38.25612491008336	0.0
chr11:111224962-111249954	POU2AF1	POU2AF1	exon_3	0	537	24.804817541613318	0.0	0	375	19.13796414852753	0.0	0	283	14.694742317541614	0.0	0	380	23.234314980793854	0.0	0	452	23.072223111395648	0.0	0	348	20.253000960307297	0.0	0	1111	72.09543053777209	0.0	0	260	11.443942061459667	0.0	0	119	4.307658450704225	0.0	0	581	14.573183418693983	0.0	0	384	15.395606594110115	0.0	0	260	6.591189180537772	0.0	0	573	14.943862035851472	0.0	0	446	15.178096991037132	0.0	0	717	34.4284971190781	0.0	0	118	2.9557858514724713	0.0	0	497	20.081306017925737	0.0	0	233	9.381682138284251	0.0	0	466	17.00628201024328	0.0	0	166	6.334507042253521	0.0	0	315	13.728993277848911	0.0	0	1123	66.82090268886043	0.0	0	954	61.74475832266325	0.0	0	1117	76.75828265044814	0.0	0	862	53.54741517285532	0.0	0	732	29.234435019206146	0.0	0	565	34.726832586427655	0.0	0	372	18.276728553137005	0.0	0	734	47.35835467349552	0.0	0	747	47.41561299615877	0.0	0	743	42.56089948783611	0.0	0	1472	94.81201984635084	0.0	0	987	64.3451504481434	0.0	0	558	21.927416773367476	0.0	0	440	12.853513124199743	0.0	0	86	1.4513444302176697	0.0	0	376	16.757682458386682	0.0	0	570	13.295614596670935	0.0	0	562	28.8169414212548	0.0	0	548	18.397687259923174	0.0	0	1015	63.85311299615877	0.0
chr12:111087187-111099291	HVCN1	HVCN1,TCTN1	exon_4,exon_15	0	538	26.458360872438863	0.0	0	276	18.196216126900197	0.0	0	306	17.80023132848645	0.0	0	444	25.857237276933244	0.0	0	342	25.612524785194978	0.0	0	366	22.62541308658295	0.0	0	1036	74.57551222736285	0.0	0	329	15.80593192333113	0.0	0	117	6.019745538664904	0.0	0	436	14.946216126900199	0.0	0	598	20.30394910773298	0.0	0	216	8.082865168539326	0.0	0	481	18.610707204230007	0.0	0	450	15.133509583608724	0.0	0	635	30.185971579643095	0.0	0	98	3.6218605419695966	0.0	0	401	20.55394910773298	0.0	0	206	10.536516853932584	0.0	0	529	20.120042961004625	0.0	0	223	8.610707204230007	0.0	0	337	12.367316589557172	0.0	0	996	71.52156311962987	0.0	0	950	70.07956047587574	0.0	0	952	76.18225380039657	0.0	0	709	56.15449438202247	0.0	0	610	32.25570059484468	0.0	0	493	34.1969596827495	0.0	0	375	22.376321877065433	0.0	0	628	46.12855254461335	0.0	0	669	47.21662260409782	0.0	0	293	22.051057501652345	0.0	0	1199	98.43051883674818	0.0	0	849	66.26330138797091	0.0	0	536	24.12483476536682	0.0	0	308	14.645406477197621	0.0	0	52	1.5579147389292796	0.0	0	500	24.651933245208195	0.0	0	268	14.947455386649041	0.0	0	564	32.78849966953074	0.0	0	464	19.947207534699274	0.0	0	816	65.76834104428288	0.0
chr12:113495947-113534751	DTX1	DTX1	exon_1	0	257	10.966034429440263	0.0	0	121	4.402149262962581	0.0	0	111	5.109189774250077	0.0	0	214	9.242706937429132	0.0	0	148	6.7177352850221626	0.0	0	179	7.872719307287908	0.0	0	395	19.81324090299969	0.0	0	230	7.04563962478095	0.0	0	139	3.4475569528914547	0.0	0	312	10.05852489434079	0.0	0	581	16.02154417070405	0.0	0	171	4.431501907019895	0.0	0	387	13.14660859705185	0.0	0	266	9.994278940315432	0.0	0	324	15.396376662199772	0.0	0	138	2.449025873621276	0.0	0	255	8.870528811462735	0.0	0	154	4.30767446654984	0.0	0	239	9.712838882589423	0.0	0	144	5.2212143078033195	0.0	0	242	8.26613235748892	0.0	0	418	19.980156684877848	0.0	0	423	20.950030924646942	0.0	0	446	21.610117513658384	0.0	0	278	14.418126997216781	0.0	0	237	10.674234614988146	0.0	0	185	9.83651169982476	0.0	0	278	8.661555509741264	0.0	0	211	9.704901556540563	0.0	0	292	14.278167199257808	0.0	0	195	9.80520049479435	0.0	0	517	26.647974435625194	0.0	0	391	19.2579888671271	0.0	0	302	12.345479847438408	0.0	0	217	8.867462117307493	0.0	0	48	1.3208432120399958	0.0	0	446	14.666915781878156	0.0	0	208	7.788372332749201	0.0	0	222	10.125425213895475	0.0	0	181	8.539995876713741	0.0	0	418	19.86846716833316	0.0
chr12:122459983-122497093	BCL7A	BCL7A	exon_1	0	320	6.12789005658852	0.0	0	184	3.125114524386958	0.0	0	167	3.637348423605497	0.0	0	281	5.601374292643492	0.0	0	195	4.258124494745352	0.0	0	168	4.278415521422797	0.0	0	532	14.384343842630019	0.0	0	207	4.062301266504985	0.0	0	98	1.95219617353813	0.0	0	419	5.59638911344651	0.0	0	501	7.3104015090272165	0.0	0	172	3.009108057127459	0.0	0	410	7.07634060900027	0.0	0	340	5.8403395311236865	0.0	0	454	8.634060900026947	0.0	0	112	1.4389382915656157	0.0	0	420	7.633926165454056	0.0	0	192	2.8474535165723527	0.0	0	334	5.1903799514955535	0.0	0	193	2.7744004311506334	0.0	0	209	3.898922123416869	0.0	0	489	13.830692535704662	0.0	0	531	15.327162489894906	0.0	0	462	13.55860953920776	0.0	0	384	10.545567232551873	0.0	0	334	7.191754244139046	0.0	0	231	6.05798976017246	0.0	0	227	4.735435192670439	0.0	0	301	8.607033144704932	0.0	0	331	9.247103206682835	0.0	0	238	6.532255456750202	0.0	0	602	18.64995957962813	0.0	0	448	13.278442468337376	0.0	0	306	5.7751549447588255	0.0	0	211	4.318189167340339	0.0	0	61	0.8429803287523578	0.0	0	266	5.562004850444624	0.0	0	329	4.718054432767448	0.0	0	268	5.994395041767717	0.0	0	373	6.730692535704661	0.0	0	442	12.364376178927513	0.0
chr12:12870771-12871939	CDKN1B	CDKN1B	exon_1	2	765	306.035102739726	281.0	8	490	243.263698630137	262.0	0	453	191.8501712328767	198.0	5	571	283.86900684931504	302.0	8	511	256.4820205479452	294.5	2	639	303.68150684931504	348.0	33	1278	655.7174657534247	737.5	0	343	154.3304794520548	175.5	0	143	53.97945205479452	59.0	0	350	107.35530821917808	40.0	0	754	251.91438356164383	199.0	0	121	33.54708904109589	22.0	0	386	105.33904109589041	27.0	0	514	161.06506849315068	101.0	5	1116	434.40839041095893	265.0	0	157	53.6138698630137	48.0	0	274	98.85702054794521	74.0	0	531	215.29109589041096	223.5	0	566	213.98715753424656	193.0	0	340	116.14897260273973	90.0	0	659	264.87585616438355	281.5	20	1077	544.1926369863014	528.0	21	1082	520.9717465753424	590.5	17	1214	631.6104452054794	738.0	13	980	497.3279109589041	570.0	1	666	250.18921232876713	158.5	5	677	307.29623287671234	331.0	3	650	271.1720890410959	290.0	7	921	440.1506849315069	471.0	21	809	426.271404109589	483.0	20	651	369.58133561643837	426.5	48	1510	810.5231164383562	953.0	25	1177	583.722602739726	604.0	0	580	214.3082191780822	196.0	0	386	117.11044520547945	63.0	0	51	14.33904109589041	3.0	0	539	193.85787671232876	188.0	0	251	80.06763698630137	39.0	1	721	325.8142123287671	319.5	0	271	94.41352739726027	50.5	17	1255	620.097602739726	685.5
chr12:49415549-49449143	KMT2D	KMT2D	exon_2	0	788	172.7138774781211	157.0	0	445	104.52366494016789	101.0	0	638	105.27004822289695	102.0	0	1194	209.53378579508245	206.0	0	704	147.803268440793	149.0	0	852	154.1307078644996	156.0	0	2613	549.0232779663035	588.0	0	504	70.64312079538013	62.0	0	386	40.713163064833005	36.0	0	677	100.59870810263737	60.0	0	783	128.1770851937846	91.0	0	422	52.848157409061145	35.0	0	760	115.43495862356373	77.0	0	653	111.24170982913616	82.0	0	1794	278.63966779782106	237.0	0	142	18.940227421563375	12.0	0	1524	182.90322676668453	162.0	0	466	50.77091147228672	46.0	0	563	118.2863606596416	108.0	0	400	49.89646960766804	42.0	0	909	91.69533249985116	83.0	0	2203	422.2612371256772	447.0	0	3221	567.298059177234	606.0	0	2536	483.28269929154015	513.0	0	1904	397.3903077930583	417.0	0	1322	213.91909269512414	201.0	0	1011	195.43016610108947	204.0	0	641	120.1383580401262	113.0	0	1099	236.4570756682741	248.0	0	1737	315.1378817646008	340.0	0	1559	298.0473596475561	306.0	0	3270	641.286926236828	682.0	0	2275	430.29332618920046	462.0	0	698	150.62668928975413	131.0	0	588	93.91671131749717	70.0	0	94	12.58325891528249	7.0	0	748	114.48068107400131	98.0	0	630	99.18178841459785	74.0	0	879	163.07793058284219	159.0	0	1147	132.3258319938084	114.0	0	2225	433.1789605286658	453.0
chr12:57490329-57502063	STAT6	STAT6	exon_2	0	223	42.10925515595705	22.0	0	169	35.68868246122379	25.0	0	151	31.35273564002045	18.0	0	262	62.04261121527186	37.0	0	166	42.28174535537754	27.0	0	187	43.45508777910346	27.0	0	576	157.79998295551388	111.0	0	146	25.182461223794103	10.0	0	84	12.777825123572525	2.0	0	205	24.01789671041418	6.0	0	229	35.701039713652634	12.0	0	88	12.348900630645986	3.0	0	275	35.723112323163456	12.0	0	176	27.56093403783876	8.0	0	369	71.9179307993864	34.0	0	54	6.727202999829555	0.0	0	282	43.61377194477586	17.0	0	115	17.317197886483722	5.0	0	185	33.376853587864325	13.0	0	76	11.715527526845065	3.0	0	125	22.87233679904551	6.0	0	438	120.81003920231805	78.0	0	523	151.68391000511335	110.0	0	468	135.54925856485426	97.0	0	407	114.07218339867053	79.0	0	270	55.86892790182376	27.0	0	227	56.21118118288734	33.0	0	173	33.14538946650759	21.0	0	278	70.254388955173	52.0	0	307	86.80092040224987	63.0	0	412	93.38716550196011	69.0	0	563	174.0693710584626	127.0	0	434	112.58172831089142	82.0	0	215	39.3493267427987	18.0	0	197	25.329725583773648	9.0	0	27	3.2722004431566387	0.0	0	223	38.959348900630644	14.0	0	174	26.582665757627407	11.0	0	264	56.941196522924834	30.0	0	213	33.60593148116584	13.0	0	436	115.32989602863474	80.0
chr12:92537799-92539332	BTG1	BTG1	exon_1	0	167	54.0071754729289	51.0	0	181	70.43966079582518	68.0	0	131	47.9562948467058	48.0	0	158	63.4853228962818	75.0	0	210	67.93085453359426	51.0	0	195	67.88127853881278	65.0	0	390	150.90280495759947	137.0	0	180	59.44944553163731	67.0	0	66	14.7866927592955	2.0	0	134	24.474233529028048	8.0	0	326	66.87084148727985	28.0	0	82	11.48467058056099	0.0	0	128	23.686236138290933	3.0	0	175	38.637312459230266	20.0	0	266	68.75538160469668	56.0	0	102	16.596216568819308	1.0	0	65	12.505544683626875	3.0	0	174	50.858447488584474	41.0	0	211	51.198303979125896	48.0	0	93	30.068493150684933	26.0	0	210	55.56294846705806	46.0	0	274	116.50489236790607	113.0	0	300	118.67514677103718	121.0	0	331	132.45335942596216	139.0	0	290	113.80495759947814	103.0	0	148	37.291585127201564	35.0	0	206	77.40313111545989	69.0	0	178	57.63666014350946	49.0	0	313	110.88845401174169	110.0	0	254	103.22961513372472	103.0	0	305	110.20939334637964	86.0	0	477	187.60600130463143	163.0	0	317	130.02544031311155	132.0	0	214	45.829093281148076	25.0	0	118	23.041095890410958	7.0	0	13	1.4435746901500326	0.0	0	222	54.49836921069798	45.0	0	82	15.119373776908024	4.0	0	164	59.42139595564253	60.0	0	118	26.378343118069147	19.0	0	340	128.32289628180038	120.0
