logFC,logCPM,F,PValue,FDR,transcript,contrast,Chr,Start,End,ERV_ID,locus
6.08111094390247,5.60394199527531,71.1729559544477,3.64815224498622e-14,1.81677981800314e-10,ERV316A3_2q21.2b,ADVANCED_LIMITED,chr2,132949793,132951001,ERV316A3,2q21
6.08111094390247,5.60394199527531,71.1729559544477,3.64815224498622e-14,1.81677981800314e-10,ERV316A3_2q21.2b,ADVANCED_LIMITED,chr2,132949793,132952316,ERV316A3,2q21
6.08111094390247,5.60394199527531,71.1729559544477,3.64815224498622e-14,1.81677981800314e-10,ERV316A3_2q21.2b,ADVANCED_LIMITED,chr2,132951054,132951600,ERV316A3,2q21
6.08111094390247,5.60394199527531,71.1729559544477,3.64815224498622e-14,1.81677981800314e-10,ERV316A3_2q21.2b,ADVANCED_LIMITED,chr2,132951729,132951859,ERV316A3,2q21
6.08111094390247,5.60394199527531,71.1729559544477,3.64815224498622e-14,1.81677981800314e-10,ERV316A3_2q21.2b,ADVANCED_LIMITED,chr2,132952066,132952316,ERV316A3,2q21
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17873185,17873582,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17873185,17877946,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17873582,17873963,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17873961,17874189,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17874179,17874825,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17874819,17875329,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17875319,17875466,HERVH,12p12
-4.39691601595528,5.66609430449036,43.119345601727,9.3320980656484e-10,2.32369241834645e-06,HERVH_12p12.3d,ADVANCED_LIMITED,chr12,17875460,17877946,HERVH,12p12
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196199400,196199728,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196199400,196204799,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196199728,196200019,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196200009,196200048,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196200041,196201928,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196201913,196203233,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196203594,196204297,HERVW,2q32
-3.21811415369989,7.94840404136007,36.788254281421,1.16148812224513e-08,1.92807028292692e-05,HERVW_2q32.3,ADVANCED_LIMITED,chr2,196204302,196204799,HERVW,2q32
-3.38978084296621,5.75404897781244,35.7646866663923,1.76246655170727e-08,2.19427085687556e-05,ERVLE_2q32.3e,ADVANCED_LIMITED,chr2,195598557,195598842,ERVLE,2q32
-3.38978084296621,5.75404897781244,35.7646866663923,1.76246655170727e-08,2.19427085687556e-05,ERVLE_2q32.3e,ADVANCED_LIMITED,chr2,195598557,195601192,ERVLE,2q32
-3.38978084296621,5.75404897781244,35.7646866663923,1.76246655170727e-08,2.19427085687556e-05,ERVLE_2q32.3e,ADVANCED_LIMITED,chr2,195599134,195599224,ERVLE,2q32
-3.38978084296621,5.75404897781244,35.7646866663923,1.76246655170727e-08,2.19427085687556e-05,ERVLE_2q32.3e,ADVANCED_LIMITED,chr2,195600643,195601192,ERVLE,2q32
