Exon_Genomic_Coordinates	Exon_Ensembl_Transcript_ID	Exon_Gene_Symbol	Exon_Number	Min_Coverage_B48232	Max_Coverage_B48232	Mean_Coverage_B48232	Median_Coverage_B48232	Min_Coverage_B48233	Max_Coverage_B48233	Mean_Coverage_B48233	Median_Coverage_B48233	Min_Coverage_B48234	Max_Coverage_B48234	Mean_Coverage_B48234	Median_Coverage_B48234	Min_Coverage_B48235	Max_Coverage_B48235	Mean_Coverage_B48235	Median_Coverage_B48235	Min_Coverage_B48236	Max_Coverage_B48236	Mean_Coverage_B48236	Median_Coverage_B48236	Min_Coverage_B48237	Max_Coverage_B48237	Mean_Coverage_B48237	Median_Coverage_B48237	Min_Coverage_B48238	Max_Coverage_B48238	Mean_Coverage_B48238	Median_Coverage_B48238	Min_Coverage_B48239	Max_Coverage_B48239	Mean_Coverage_B48239	Median_Coverage_B48239	Min_Coverage_B48240	Max_Coverage_B48240	Mean_Coverage_B48240	Median_Coverage_B48240	Min_Coverage_B48241	Max_Coverage_B48241	Mean_Coverage_B48241	Median_Coverage_B48241	Min_Coverage_B48242	Max_Coverage_B48242	Mean_Coverage_B48242	Median_Coverage_B48242	Min_Coverage_B48243	Max_Coverage_B48243	Mean_Coverage_B48243	Median_Coverage_B48243	Min_Coverage_B48244	Max_Coverage_B48244	Mean_Coverage_B48244	Median_Coverage_B48244	Min_Coverage_B48245	Max_Coverage_B48245	Mean_Coverage_B48245	Median_Coverage_B48245	Min_Coverage_B48246	Max_Coverage_B48246	Mean_Coverage_B48246	Median_Coverage_B48246	Min_Coverage_B48247	Max_Coverage_B48247	Mean_Coverage_B48247	Median_Coverage_B48247	Min_Coverage_B48249	Max_Coverage_B48249	Mean_Coverage_B48249	Median_Coverage_B48249	Min_Coverage_B48250	Max_Coverage_B48250	Mean_Coverage_B48250	Median_Coverage_B48250	Min_Coverage_B48251	Max_Coverage_B48251	Mean_Coverage_B48251	Median_Coverage_B48251	Min_Coverage_B48252	Max_Coverage_B48252	Mean_Coverage_B48252	Median_Coverage_B48252	Min_Coverage_B48253	Max_Coverage_B48253	Mean_Coverage_B48253	Median_Coverage_B48253	Min_Coverage_B48254	Max_Coverage_B48254	Mean_Coverage_B48254	Median_Coverage_B48254	Min_Coverage_B48255	Max_Coverage_B48255	Mean_Coverage_B48255	Median_Coverage_B48255	Min_Coverage_B48256	Max_Coverage_B48256	Mean_Coverage_B48256	Median_Coverage_B48256	Min_Coverage_B48257	Max_Coverage_B48257	Mean_Coverage_B48257	Median_Coverage_B48257	Min_Coverage_B48258	Max_Coverage_B48258	Mean_Coverage_B48258	Median_Coverage_B48258	Min_Coverage_B48259	Max_Coverage_B48259	Mean_Coverage_B48259	Median_Coverage_B48259	Min_Coverage_B48260	Max_Coverage_B48260	Mean_Coverage_B48260	Median_Coverage_B48260	Min_Coverage_B48261	Max_Coverage_B48261	Mean_Coverage_B48261	Median_Coverage_B48261	Min_Coverage_B48262	Max_Coverage_B48262	Mean_Coverage_B48262	Median_Coverage_B48262	Min_Coverage_B48263	Max_Coverage_B48263	Mean_Coverage_B48263	Median_Coverage_B48263	Min_Coverage_B48264	Max_Coverage_B48264	Mean_Coverage_B48264	Median_Coverage_B48264	Min_Coverage_B48265	Max_Coverage_B48265	Mean_Coverage_B48265	Median_Coverage_B48265	Min_Coverage_B48266	Max_Coverage_B48266	Mean_Coverage_B48266	Median_Coverage_B48266	Min_Coverage_B48267	Max_Coverage_B48267	Mean_Coverage_B48267	Median_Coverage_B48267	Min_Coverage_B48268	Max_Coverage_B48268	Mean_Coverage_B48268	Median_Coverage_B48268	Min_Coverage_B48269	Max_Coverage_B48269	Mean_Coverage_B48269	Median_Coverage_B48269	Min_Coverage_B48270	Max_Coverage_B48270	Mean_Coverage_B48270	Median_Coverage_B48270	Min_Coverage_B48271	Max_Coverage_B48271	Mean_Coverage_B48271	Median_Coverage_B48271	Min_Coverage_B48272	Max_Coverage_B48272	Mean_Coverage_B48272	Median_Coverage_B48272	Min_Coverage_B48273	Max_Coverage_B48273	Mean_Coverage_B48273	Median_Coverage_B48273	Min_Coverage_B48274	Max_Coverage_B48274	Mean_Coverage_B48274	Median_Coverage_B48274	Min_Coverage_B48275	Max_Coverage_B48275	Mean_Coverage_B48275	Median_Coverage_B48275	Min_Coverage_B48276	Max_Coverage_B48276	Mean_Coverage_B48276	Median_Coverage_B48276	Min_Coverage_B48277	Max_Coverage_B48277	Mean_Coverage_B48277	Median_Coverage_B48277
chr10:89624205-89725256	PTEN	PTEN	exon_1	0	205	1.6567475829036824	0.0	0	298	3.5313752461628285	0.0	0	432	7.531127846335019	0.0	0	541	6.374484171359017	0.0	0	97	0.9200403756518986	0.0	0	232	2.8601993053012835	0.0	0	801	9.720398610602567	0.0	0	137	1.86341550306281	0.0	0	157	1.526447041592859	0.0	0	200	1.8434948689275712	0.0	0	119	1.3893182650344875	0.0	0	136	1.9612472909718854	0.0	0	538	10.090716568861268	0.0	0	1029	17.32416304638252	0.0	0	304	4.84601834717123	0.0	0	114	1.3702981662724762	0.0	0	400	7.442964443696747	0.0	0	193	2.0537748265727207	0.0	0	135	1.863771758814856	0.0	0	151	1.6659706484844286	0.0	0	234	3.6869501538826928	0.0	0	297	5.390535472187311	0.0	0	118	1.1204540281639963	0.0	0	119	1.3888432573650928	0.0	0	227	3.485160958327973	0.0	0	239	3.0390594848145986	0.0	0	207	1.7999821872123978	0.0	0	124	1.3749888670077486	0.0	0	178	1.4130983364835579	0.0	0	231	3.0327359452157823	0.0	0	202	2.3828858695114348	0.0	0	170	2.2861327448516096	0.0	0	152	2.228627128875518	0.0	0	223	1.6069707375483666	0.0	0	209	2.4979366854360667	0.0	0	258	3.523181363865771	0.0	0	78	0.9813856369555967	0.0	0	100	1.5200146460698063	0.0	0	189	2.1130023453503677	0.0	0	108	1.3549593769482737	0.0	0	82	0.682397997050994	0.0	0	95	0.8832668652462617	0.0	0	178	1.9445824385706227	0.0	0	266	3.3276662279443054	0.0	0	203	2.526546001523983	0.0
chr10:90750588-90774221	FAS	ACTA2,FAS	exon_1,exon_1	0	279	7.056996572589176	0.0	0	502	20.807811111581263	0.0	0	542	36.766385985697966	0.0	0	742	27.511234291033723	0.0	0	180	5.580078703507807	0.0	0	296	14.203021199170651	0.0	0	1097	44.917022807091776	0.0	0	205	9.218550332162653	0.0	0	131	5.782634451825837	0.0	0	259	12.31925697118436	0.0	0	230	7.108026911522025	0.0	0	267	8.469089832014555	0.0	0	718	48.48762323869166	0.0	0	978	71.7344391317226	0.0	0	563	21.444844073964372	0.0	0	208	7.289129606905598	0.0	0	631	37.435873566622945	0.0	0	365	10.482207083315703	0.0	0	248	7.303220073625862	0.0	0	247	8.899716498117039	0.0	0	352	20.29966572166039	0.0	0	332	24.427199255278637	0.0	0	301	5.904159438073879	0.0	0	219	7.483349553590319	0.0	0	238	13.555367494605001	0.0	0	308	15.551136123217535	0.0	0	351	9.704523336013201	0.0	0	190	6.781915118689968	0.0	0	190	5.873862818939618	0.0	0	347	11.046164261837262	0.0	0	435	11.598019718190665	0.0	0	622	12.440231879152034	0.0	0	331	11.427749333559007	0.0	0	210	6.939449075445352	0.0	0	381	12.214784411627809	0.0	0	300	18.310582659840055	0.0	0	95	4.74730250074049	0.0	0	236	6.9382642914568615	0.0	0	316	10.009689840477298	0.0	0	170	5.846908983201455	0.0	0	95	4.073329666144797	0.0	0	131	3.5466085558329454	0.0	0	219	8.065967079930605	0.0	0	478	16.317225912918378	0.0	0	595	13.36939872212584	0.0
chr11:111224962-111249954	POU2AF1	POU2AF1	exon_3	0	882	31.764244558258643	0.0	0	477	29.554217349551855	0.0	0	632	41.14852752880922	0.0	0	805	43.1101552496799	0.0	0	542	16.23247439180538	0.0	0	320	19.451864596670934	0.0	0	2653	138.456826184379	0.0	0	398	15.81085947503201	0.0	0	402	14.92737676056338	0.0	0	382	19.82914532650448	0.0	0	619	19.427896927016647	0.0	0	507	23.114516645326503	0.0	0	1187	77.44358194622279	0.0	0	1361	73.47943341869399	0.0	0	1043	59.60787451984635	0.0	0	526	16.721030729833547	0.0	0	1330	68.0417333546735	0.0	0	606	27.341749359795134	0.0	0	1138	56.471790973111396	0.0	0	708	29.70550576184379	0.0	0	474	28.461347631242	0.0	0	714	37.75392125480154	0.0	0	721	24.404129321382843	0.0	0	472	19.057058258642765	0.0	0	498	24.14196542893726	0.0	0	540	27.47631241997439	0.0	0	715	25.668333866837386	0.0	0	411	18.25076024327785	0.0	0	575	13.429777528809218	0.0	0	633	31.64808738796415	0.0	0	588	23.060939500640206	0.0	0	1064	35.44866357234315	0.0	0	607	28.072543213828425	0.0	0	373	10.42201504481434	0.0	0	529	18.63216229193342	0.0	0	363	21.10935499359795	0.0	0	537	17.671294814340587	0.0	0	625	21.75460147247119	0.0	0	507	18.84915172855314	0.0	0	538	20.782490396927017	0.0	0	162	6.56830185659411	0.0	0	439	13.416653329065301	0.0	0	300	13.78361075544174	0.0	0	717	32.63756402048656	0.0	0	1235	58.28181017925736	0.0
chr12:111087187-111099291	HVCN1	HVCN1,TCTN1	exon_4,exon_15	0	650	32.931675479180434	0.0	0	609	32.790482485128884	0.0	0	713	45.0380039656312	0.0	0	1409	79.03932584269663	0.0	0	604	23.88235294117647	0.0	0	428	24.038003965631198	0.0	0	2594	157.21100462656972	0.0	0	344	15.528998678122935	0.0	0	414	22.61136814276272	0.0	0	472	21.621777924653006	0.0	0	566	22.20530403172505	0.0	0	633	26.747108393919365	0.0	0	1011	76.32369464639788	0.0	0	1017	71.4660442828817	0.0	0	1247	67.55551883674818	0.0	0	375	17.823116325181758	0.0	0	1072	88.10847653668209	0.0	0	731	29.91754791804362	0.0	0	1063	62.16349966953074	0.0	0	844	40.40499008592201	0.0	0	518	32.412756113681425	0.0	0	656	41.965631196298744	0.0	0	524	23.710426305353604	0.0	0	499	22.93291473892928	0.0	0	674	34.02825512227363	0.0	0	704	33.71463978849967	0.0	0	697	29.818324520819562	0.0	0	480	24.55807997356246	0.0	0	346	16.683823529411764	0.0	0	974	47.679610046265694	0.0	0	458	21.88648380700595	0.0	0	1097	44.771067415730336	0.0	0	587	30.53205551883675	0.0	0	303	11.838565763384006	0.0	0	580	22.181675479180438	0.0	0	454	24.29998347653668	0.0	0	291	14.10269332452082	0.0	0	474	21.985294117647058	0.0	0	615	26.504378717779247	0.0	0	443	20.845836087243885	0.0	0	162	8.307253800396563	0.0	0	373	14.80948446794448	0.0	0	393	20.553205551883675	0.0	0	1038	43.226867151354924	0.0	0	1266	76.80824520819564	0.0
chr12:113495947-113534751	DTX1	DTX1	exon_1	0	367	14.5175497371405	0.0	0	267	11.692737862076074	0.0	0	261	11.99425316977631	0.0	0	515	24.91503453252242	0.0	0	355	12.746520977218843	0.0	0	186	7.913050201010205	0.0	0	1038	55.21871456550871	0.0	0	261	9.137331202968767	0.0	0	239	10.236522008040408	0.0	0	329	11.706035460261829	0.0	0	343	12.000412328625915	0.0	0	252	10.593882074012988	0.0	0	356	18.98631584372745	0.0	0	361	17.535125244820122	0.0	0	435	20.465879806205546	0.0	0	314	10.769894856200391	0.0	0	407	21.14434078960932	0.0	0	315	14.526105556128234	0.0	0	431	20.577363158437276	0.0	0	408	19.587774456241625	0.0	0	207	9.862385321100918	0.0	0	238	11.752912070920523	0.0	0	345	15.110684465519018	0.0	0	335	12.681244201628697	0.0	0	327	12.538217709514482	0.0	0	244	10.22113699618596	0.0	0	311	14.575816926090093	0.0	0	361	13.044248015668488	0.0	0	314	10.168719719616535	0.0	0	471	20.303319245438615	0.0	0	365	13.705726213792392	0.0	0	359	16.24690753530564	0.0	0	245	11.583109988660963	0.0	0	136	3.589037212658489	0.0	0	372	14.107050819503144	0.0	0	195	8.787135346871457	0.0	0	234	8.789325842696629	0.0	0	340	12.087954850015462	0.0	0	334	12.174543861457582	0.0	0	230	9.834785073703742	0.0	0	208	5.389238222863622	0.0	0	226	9.121585403566643	0.0	0	387	10.485207710545305	0.0	0	328	13.166864240799917	0.0	0	552	25.547701267910526	0.0
chr12:122459983-122497093	BCL7A	BCL7A	exon_1	0	446	10.22584209108057	0.0	0	404	7.200242522231204	0.0	0	279	7.470762597682565	0.0	0	691	15.136162759364053	0.0	0	413	7.212611156022636	0.0	0	293	5.632417138237672	0.0	0	1393	36.472136890326055	0.0	0	257	4.584990568579897	0.0	0	475	7.839153866882242	0.0	0	324	5.616410670978173	0.0	0	285	5.9021018593371055	0.0	0	371	7.37634060900027	0.0	0	447	12.714766909188898	0.0	0	373	9.127917003503098	0.0	0	688	13.461870115871733	0.0	0	284	5.133198598760442	0.0	0	519	14.061196443007276	0.0	0	356	8.102236593909998	0.0	0	595	15.309108057127458	0.0	0	536	11.594475882511452	0.0	0	317	6.765292374023175	0.0	0	289	8.250121261115602	0.0	0	513	9.213177041228779	0.0	0	407	7.3989221234168685	0.0	0	399	8.006521153327943	0.0	0	330	6.846429533818378	0.0	0	432	7.373618970627863	0.0	0	386	7.40706009161951	0.0	0	283	4.1371328482888705	0.0	0	562	10.908973322554568	0.0	0	303	6.729048773915387	0.0	0	541	9.585071409323632	0.0	0	343	7.011102128806252	0.0	0	143	2.3780382646187013	0.0	0	335	6.280786849905685	0.0	0	212	4.078523309081111	0.0	0	372	6.838803556992724	0.0	0	422	6.918054432767448	0.0	0	357	6.095445971436271	0.0	0	339	6.341174885475613	0.0	0	163	2.679655079493398	0.0	0	349	4.806521153327944	0.0	0	295	4.2693613581244945	0.0	0	425	6.624333063864188	0.0	0	773	17.901832390191323	0.0
chr12:12870771-12871939	CDKN1B	CDKN1B	exon_1	0	600	229.34931506849315	131.0	2	1142	503.6943493150685	420.0	17	1303	627.4049657534247	705.0	6	1880	798.5256849315068	581.5	0	563	182.73030821917808	67.5	0	759	300.861301369863	312.0	16	2772	1259.7337328767123	1130.0	0	286	118.63527397260275	122.0	0	374	152.263698630137	135.0	0	786	321.51027397260276	347.0	0	524	171.04623287671234	91.0	0	638	212.47688356164383	119.0	12	1378	711.0607876712329	813.0	42	1719	917.7842465753424	1038.5	16	1642	723.5873287671233	670.0	0	695	202.9794520547945	103.5	33	1186	664.4160958904109	796.0	0	769	300.7054794520548	181.0	3	1064	399.9914383561644	220.0	1	887	333.3107876712329	223.0	5	751	299.8167808219178	245.0	10	771	394.1592465753425	460.0	0	524	187.263698630137	87.0	0	574	223.9486301369863	194.0	0	768	320.5890410958904	267.5	7	972	407.43407534246575	369.0	0	679	269.80650684931504	170.0	0	536	197.37243150684932	110.0	0	769	234.6875	216.0	0	1165	466.083904109589	388.0	0	1150	418.63099315068496	330.0	3	1627	580.5505136986301	339.5	3	625	242.6335616438356	189.0	0	737	315.3193493150685	323.0	0	1045	363.7183219178082	304.5	6	633	292.73972602739724	268.0	0	237	84.93921232876713	45.0	0	664	224.2208904109589	106.0	0	673	264.72945205479454	259.5	0	546	201.09417808219177	80.0	0	320	126.80993150684931	131.0	0	401	128.0248287671233	37.0	0	451	176.09075342465752	198.5	0	1035	432.6917808219178	346.0	1	1327	531.0068493150685	268.0
chr12:49415549-49449143	KMT2D	KMT2D	exon_2	0	1754	267.1872358159195	251.0	0	1029	210.4913079716616	208.0	0	966	232.07185806989344	242.0	0	1741	424.06545811752096	427.0	0	1071	166.02920164315057	128.0	0	707	121.06876227897838	118.0	0	6546	1137.8382746919092	1146.0	0	711	102.48553313091624	93.0	0	986	142.51863427993095	124.0	0	865	134.95927844257903	124.0	0	894	148.55762933857235	126.0	0	1297	190.1251413942966	169.0	0	2445	436.9885098529499	452.0	0	997	305.5933202357564	318.0	0	3167	533.7564743704232	523.0	0	621	121.60225040185748	93.0	0	1810	366.3831636601774	393.0	0	1127	208.75570042269453	193.0	0	2214	415.16964338870036	419.0	0	1268	242.20271477049474	220.0	0	1042	189.39143894743108	185.0	0	1276	234.199470143478	242.0	0	1408	204.6533309519557	159.0	0	596	137.62984461510985	122.0	0	985	208.7325712924927	199.0	0	940	175.43135678990296	172.0	0	1152	202.56051675894506	179.0	0	764	132.83776864916354	116.0	0	611	74.80395308686074	57.0	0	1309	269.5900458415193	259.0	0	799	145.13204738941477	128.0	0	1616	245.15883788771805	215.0	0	1273	201.82065249746978	187.0	0	328	44.23489313567899	36.0	0	579	121.55358099660654	108.0	0	812	132.5025004465083	136.0	0	1346	163.88816455319403	140.0	0	970	162.31770554265643	132.0	0	981	125.86086801214502	117.0	0	1483	230.38399714234686	208.0	0	514	46.348693219027204	36.0	0	682	111.61082336131452	85.0	0	657	95.44028695600404	89.0	0	899	201.04218015121748	199.0	0	3070	518.3458057986545	504.0
chr12:57490329-57502063	STAT6	STAT6	exon_2	0	359	67.46224646326914	31.0	0	253	57.536816089994886	34.0	0	331	74.94273052667462	49.0	0	485	114.47332537923981	66.0	0	253	40.09442645304244	13.0	0	193	38.1058462587353	16.0	0	1131	302.20282938469404	173.5	0	138	26.84276461564684	13.0	0	213	40.570734617351285	17.0	0	175	34.16720640872678	14.0	0	290	42.706408726776885	16.0	0	287	48.53212885631498	19.0	0	440	122.34557695585478	79.0	0	363	100.90250553945799	72.0	0	671	152.50306800749956	86.0	0	230	33.2945287199591	15.0	0	529	135.61939662519174	104.0	0	305	53.19345491733424	20.0	0	505	118.31873189023351	73.0	0	449	79.38367138230782	32.0	0	273	59.033662860064766	34.0	0	284	65.18391000511335	41.0	0	367	49.31310720981762	14.0	0	235	38.32214078745526	15.0	0	356	62.454917334242374	31.0	0	229	52.85103119140958	22.0	0	326	55.200357934208284	20.0	0	273	42.86066132606102	17.0	0	183	25.17393898073973	8.0	0	374	76.0890574399182	37.0	0	222	39.697375149139255	18.0	0	406	69.1592807226862	23.0	0	257	52.33500937446736	25.0	0	63	10.59621612408386	3.0	0	239	36.24910516447929	15.0	0	169	39.375234361683994	23.0	0	195	35.18288733594682	15.0	0	303	42.89679563661156	12.0	0	217	40.722345321288564	17.0	0	316	63.75592295892279	30.0	0	114	11.194648031361854	2.0	0	198	28.73555479802284	8.0	0	181	27.188852906084882	8.0	0	281	59.914692347025735	26.0	0	570	145.91230611897052	80.0
chr12:92537799-92539332	BTG1	BTG1	exon_1	0	115	27.87345075016308	22.0	0	276	93.76255707762557	98.0	0	342	129.62752772341813	120.0	0	561	192.7579908675799	199.0	0	162	30.245923026744943	14.0	0	174	62.06001304631442	60.0	0	565	217.59752120026093	199.0	0	114	37.86170906718852	27.0	0	120	31.61839530332681	26.0	0	276	67.34442270058709	53.0	0	176	39.424005218525764	28.0	0	154	35.545988258317024	25.0	0	392	154.14481409001957	133.0	0	774	282.41356816699283	238.0	0	291	81.07240704500978	85.0	0	204	43.12133072407045	28.0	0	640	227.955642530985	216.0	0	311	69.99608610567515	51.0	0	213	62.34181343770385	54.0	0	266	69.36268754076973	46.0	0	202	72.55446836268754	77.0	0	209	83.27592954990216	77.0	0	140	28.262883235485976	11.0	0	161	46.560339204174824	46.0	0	202	74.70254403131115	61.0	0	198	66.23679060665361	69.0	0	191	43.099804305283755	34.0	0	198	46.13502935420744	22.0	0	238	52.18590998043053	39.0	0	338	88.4624918460535	80.0	0	302	82.89367253750815	78.0	0	407	101.05088062622309	79.0	0	176	50.452707110241356	49.0	0	298	87.68949771689498	57.0	0	262	76.07893020221788	70.0	0	136	48.984996738421394	58.0	0	28	6.975864318330072	4.0	0	174	37.65101108936725	14.0	0	259	64.75472928897587	47.0	0	107	22.858447488584474	19.0	0	98	28.448140900195696	17.0	0	113	18.764514024787996	2.0	0	223	49.01565557729941	33.0	0	368	106.89106327462491	101.0	0	267	73.26353555120679	71.0
