Exon_Genomic_Coordinates	Exon_Ensembl_Transcript_ID	Exon_Gene_Symbol	Exon_Number	Min_Coverage_B48232	Max_Coverage_B48232	Mean_Coverage_B48232	Median_Coverage_B48232	Min_Coverage_B48233	Max_Coverage_B48233	Mean_Coverage_B48233	Median_Coverage_B48233	Min_Coverage_B48234	Max_Coverage_B48234	Mean_Coverage_B48234	Median_Coverage_B48234	Min_Coverage_B48235	Max_Coverage_B48235	Mean_Coverage_B48235	Median_Coverage_B48235	Min_Coverage_B48236	Max_Coverage_B48236	Mean_Coverage_B48236	Median_Coverage_B48236	Min_Coverage_B48237	Max_Coverage_B48237	Mean_Coverage_B48237	Median_Coverage_B48237	Min_Coverage_B48238	Max_Coverage_B48238	Mean_Coverage_B48238	Median_Coverage_B48238	Min_Coverage_B48239	Max_Coverage_B48239	Mean_Coverage_B48239	Median_Coverage_B48239	Min_Coverage_B48240	Max_Coverage_B48240	Mean_Coverage_B48240	Median_Coverage_B48240	Min_Coverage_B48241	Max_Coverage_B48241	Mean_Coverage_B48241	Median_Coverage_B48241	Min_Coverage_B48242	Max_Coverage_B48242	Mean_Coverage_B48242	Median_Coverage_B48242	Min_Coverage_B48243	Max_Coverage_B48243	Mean_Coverage_B48243	Median_Coverage_B48243	Min_Coverage_B48244	Max_Coverage_B48244	Mean_Coverage_B48244	Median_Coverage_B48244	Min_Coverage_B48245	Max_Coverage_B48245	Mean_Coverage_B48245	Median_Coverage_B48245	Min_Coverage_B48246	Max_Coverage_B48246	Mean_Coverage_B48246	Median_Coverage_B48246	Min_Coverage_B48247	Max_Coverage_B48247	Mean_Coverage_B48247	Median_Coverage_B48247	Min_Coverage_B48249	Max_Coverage_B48249	Mean_Coverage_B48249	Median_Coverage_B48249	Min_Coverage_B48250	Max_Coverage_B48250	Mean_Coverage_B48250	Median_Coverage_B48250	Min_Coverage_B48251	Max_Coverage_B48251	Mean_Coverage_B48251	Median_Coverage_B48251	Min_Coverage_B48252	Max_Coverage_B48252	Mean_Coverage_B48252	Median_Coverage_B48252	Min_Coverage_B48253	Max_Coverage_B48253	Mean_Coverage_B48253	Median_Coverage_B48253	Min_Coverage_B48254	Max_Coverage_B48254	Mean_Coverage_B48254	Median_Coverage_B48254	Min_Coverage_B48255	Max_Coverage_B48255	Mean_Coverage_B48255	Median_Coverage_B48255	Min_Coverage_B48256	Max_Coverage_B48256	Mean_Coverage_B48256	Median_Coverage_B48256	Min_Coverage_B48257	Max_Coverage_B48257	Mean_Coverage_B48257	Median_Coverage_B48257	Min_Coverage_B48258	Max_Coverage_B48258	Mean_Coverage_B48258	Median_Coverage_B48258	Min_Coverage_B48259	Max_Coverage_B48259	Mean_Coverage_B48259	Median_Coverage_B48259	Min_Coverage_B48260	Max_Coverage_B48260	Mean_Coverage_B48260	Median_Coverage_B48260	Min_Coverage_B48261	Max_Coverage_B48261	Mean_Coverage_B48261	Median_Coverage_B48261	Min_Coverage_B48262	Max_Coverage_B48262	Mean_Coverage_B48262	Median_Coverage_B48262	Min_Coverage_B48263	Max_Coverage_B48263	Mean_Coverage_B48263	Median_Coverage_B48263	Min_Coverage_B48264	Max_Coverage_B48264	Mean_Coverage_B48264	Median_Coverage_B48264	Min_Coverage_B48265	Max_Coverage_B48265	Mean_Coverage_B48265	Median_Coverage_B48265	Min_Coverage_B48266	Max_Coverage_B48266	Mean_Coverage_B48266	Median_Coverage_B48266	Min_Coverage_B48267	Max_Coverage_B48267	Mean_Coverage_B48267	Median_Coverage_B48267	Min_Coverage_B48268	Max_Coverage_B48268	Mean_Coverage_B48268	Median_Coverage_B48268	Min_Coverage_B48269	Max_Coverage_B48269	Mean_Coverage_B48269	Median_Coverage_B48269	Min_Coverage_B48270	Max_Coverage_B48270	Mean_Coverage_B48270	Median_Coverage_B48270	Min_Coverage_B48271	Max_Coverage_B48271	Mean_Coverage_B48271	Median_Coverage_B48271	Min_Coverage_B48272	Max_Coverage_B48272	Mean_Coverage_B48272	Median_Coverage_B48272	Min_Coverage_B48273	Max_Coverage_B48273	Mean_Coverage_B48273	Median_Coverage_B48273	Min_Coverage_B48274	Max_Coverage_B48274	Mean_Coverage_B48274	Median_Coverage_B48274	Min_Coverage_B48275	Max_Coverage_B48275	Mean_Coverage_B48275	Median_Coverage_B48275	Min_Coverage_B48276	Max_Coverage_B48276	Mean_Coverage_B48276	Median_Coverage_B48276	Min_Coverage_B48277	Max_Coverage_B48277	Mean_Coverage_B48277	Median_Coverage_B48277
chr10:89624205-89725256	PTEN	PTEN	exon_1	0	73	0.5940663625298117	0.0	0	107	1.3230645911470447	0.0	0	170	2.806602606604586	0.0	0	207	2.3902781763663894	0.0	0	33	0.35971934963533264	0.0	0	78	1.0280155565011726	0.0	0	319	3.518480767137386	0.0	0	43	0.6266439718557956	0.0	0	40	0.5215980049677885	0.0	0	68	0.6153328517283352	0.0	0	36	0.49030687474641516	0.0	0	43	0.7109182492008985	0.0	0	208	3.848680369318463	0.0	0	348	6.388981801268666	0.0	0	123	1.7531741397907987	0.0	0	33	0.4677835944226183	0.0	0	148	2.815795984205995	0.0	0	79	0.8025749374078436	0.0	0	52	0.7300768918664833	0.0	0	60	0.5792025808750038	0.0	0	95	1.3314662892994626	0.0	0	133	2.0533789868482253	0.0	0	53	0.41166341748226143	0.0	0	42	0.4871995329091251	0.0	0	79	1.2140008510554077	0.0	0	95	1.2086174308022681	0.0	0	86	0.6706316612403638	0.0	0	46	0.4860219097287508	0.0	0	34	0.3617084442509228	0.0	0	81	1.0627307003394326	0.0	0	83	0.8198830293614116	0.0	0	69	0.8252367616352139	0.0	0	66	0.8322233327725604	0.0	0	50	0.4392237583002642	0.0	0	78	0.871055209745574	0.0	0	81	1.206836152042038	0.0	0	30	0.3704268141829373	0.0	0	42	0.5161057287904127	0.0	0	55	0.6227152625901773	0.0	0	39	0.5205193417185382	0.0	0	28	0.2199582389090657	0.0	0	26	0.2738815053784723	0.0	0	45	0.5685940762585229	0.0	0	98	1.2078356473463894	0.0	0	86	0.9627020019594066	0.0
chr10:90750588-90774221	FAS	ACTA2,FAS	exon_1,exon_1	0	124	2.8495324334616847	0.0	0	214	7.736427876274701	0.0	0	227	13.883975796555664	0.0	0	305	10.369441035839715	0.0	0	69	1.889899716498117	0.0	0	92	4.696822240088013	0.0	0	460	16.777979943299623	0.0	0	71	2.8749629755003596	0.0	0	56	1.9708035374264798	0.0	0	101	3.935217704057885	0.0	0	84	2.346126179494774	0.0	0	105	3.135530825540558	0.0	0	250	18.106292049253163	0.0	0	333	27.044217830999028	0.0	0	232	8.0506072017941	0.0	0	68	2.1701011297761603	0.0	0	224	13.991875766936063	0.0	0	155	4.063893707950747	0.0	0	116	3.0271230905936615	0.0	0	106	3.084923623746456	0.0	0	137	7.436169762620065	0.0	0	136	9.046714340117632	0.0	0	110	2.1589303093132486	0.0	0	83	2.491177590657132	0.0	0	107	4.901409046672026	0.0	0	139	5.864299919603944	0.0	0	149	3.6096136757923243	0.0	0	82	2.4690052045868067	0.0	0	61	1.4296534506833665	0.0	0	136	3.845851140354589	0.0	0	161	3.9647949900562773	0.0	0	258	4.655439427918588	0.0	0	137	4.364405703888631	0.0	0	52	1.5283713451529641	0.0	0	160	4.381331189438497	0.0	0	109	5.869292937841155	0.0	0	36	1.6957220835272713	0.0	0	90	2.4444632505394996	0.0	0	94	2.6635213472686496	0.0	0	77	2.3747725637879236	0.0	0	32	1.0355858333685948	0.0	0	49	1.2194389201540219	0.0	0	74	2.1947277112512165	0.0	0	187	5.755299792662802	0.0	0	240	4.76824778910845	0.0
chr11:111224962-111249954	POU2AF1	POU2AF1	exon_3	0	373	13.574303777208707	0.0	0	223	12.559699103713188	0.0	0	266	17.09927176696543	0.0	0	348	18.11923815620999	0.0	0	216	6.581145966709347	0.0	0	125	7.333146606914212	0.0	0	991	55.591189180537775	0.0	0	157	5.362155889884763	0.0	0	125	4.824263764404609	0.0	0	124	6.217589628681178	0.0	0	239	7.455985915492958	0.0	0	216	9.90400928297055	0.0	0	456	31.98915653008963	0.0	0	524	30.859435019206146	0.0	0	398	24.12600032010243	0.0	0	162	5.411291613316261	0.0	0	512	28.882962548015364	0.0	0	261	11.432418373879642	0.0	0	510	23.80225672215109	0.0	0	260	11.491397247119078	0.0	0	227	12.135363316261204	0.0	0	267	15.426376440460947	0.0	0	282	9.025248079385403	0.0	0	172	6.3742797695262485	0.0	0	213	9.539252560819461	0.0	0	213	11.479953585147246	0.0	0	272	10.039652688860436	0.0	0	145	6.808218629961588	0.0	0	124	3.1580105633802815	0.0	0	245	11.835347311139564	0.0	0	216	8.014444622279129	0.0	0	406	14.129521446862997	0.0	0	259	11.836227592829706	0.0	0	89	2.5641005121638925	0.0	0	204	6.700904289372599	0.0	0	141	7.728993277848912	0.0	0	225	7.240236875800256	0.0	0	207	7.448143405889884	0.0	0	121	4.920814660691422	0.0	0	234	8.730833866837388	0.0	0	45	1.8236635723431498	0.0	0	135	4.285171254801536	0.0	0	89	3.8687580025608193	0.0	0	239	12.05045614596671	0.0	0	567	25.18389884763124	0.0
chr12:111087187-111099291	HVCN1	HVCN1,TCTN1	exon_4,exon_15	0	274	14.198446794448117	0.0	0	253	13.36541639127561	0.0	0	322	19.122191011235955	0.0	0	584	33.180518836748185	0.0	0	231	9.507105089226702	0.0	0	151	8.936219431592862	0.0	0	1045	62.8504626569729	0.0	0	128	5.87508261731659	0.0	0	128	7.383509583608724	0.0	0	160	7.357237276933245	0.0	0	215	8.594183740912095	0.0	0	258	10.976206212822207	0.0	0	419	32.41027759418374	0.0	0	428	30.108807005948446	0.0	0	467	26.760327164573695	0.0	0	126	6.015366820885657	0.0	0	480	37.629874421678785	0.0	0	303	13.132683410442828	0.0	0	448	26.965961665565104	0.0	0	336	15.69968605419696	0.0	0	229	13.852858559153999	0.0	0	262	17.059236615994713	0.0	0	188	8.707947785855916	0.0	0	170	8.05981493721084	0.0	0	262	13.34327495042961	0.0	0	288	13.855419695968274	0.0	0	261	11.405237937871778	0.0	0	184	9.089887640449438	0.0	0	75	3.846827495042961	0.0	0	349	18.734054857898215	0.0	0	164	8.224719101123595	0.0	0	393	15.897967614011897	0.0	0	234	12.590052875082618	0.0	0	54	2.73512888301388	0.0	0	191	8.134666226040979	0.0	0	154	8.566424322538005	0.0	0	112	6.000908790482485	0.0	0	186	8.010905485789822	0.0	0	135	6.838813615333774	0.0	0	196	9.152511566424323	0.0	0	38	1.8793787177792465	0.0	0	115	4.635905485789822	0.0	0	100	5.547752808988764	0.0	0	365	15.51891936549901	0.0	0	518	31.937623925974883	0.0
chr12:113495947-113534751	DTX1	DTX1	exon_1	0	155	6.52084836614782	0.0	0	109	5.176528192969797	0.0	0	116	5.672739923719204	0.0	0	219	11.402149262962581	0.0	0	143	5.585120090712298	0.0	0	73	3.278270281414287	0.0	0	421	24.07223482115246	0.0	0	103	3.7441758581589526	0.0	0	95	3.9868312545098443	0.0	0	120	4.597593031646222	0.0	0	126	5.0632924440779306	0.0	0	113	4.762086382847129	0.0	0	163	8.85815895268529	0.0	0	165	7.970698897020926	0.0	0	187	9.325018039377383	0.0	0	119	4.266776620966911	0.0	0	189	10.148721781259663	0.0	0	133	6.602901762704875	0.0	0	198	9.82769817544583	0.0	0	165	8.391634883001752	0.0	0	84	4.486083908875374	0.0	0	107	5.3876919905164415	0.0	0	144	6.192377074528399	0.0	0	117	5.133465622100815	0.0	0	117	5.446938459952582	0.0	0	113	4.549170188640346	0.0	0	135	6.335661272033811	0.0	0	127	5.498273373878981	0.0	0	108	3.2908205339655705	0.0	0	185	8.858725904545922	0.0	0	156	5.685315946809607	0.0	0	148	6.897304401608082	0.0	0	108	5.3498092980105145	0.0	0	39	1.2670343263581074	0.0	0	149	5.977914647974436	0.0	0	77	3.64666013813009	0.0	0	93	3.761132872899701	0.0	0	115	4.820765900422637	0.0	0	106	4.003066694155241	0.0	0	100	4.320997835274714	0.0	0	56	1.7785537573446037	0.0	0	76	3.410885475724152	0.0	0	125	3.785666426141635	0.0	0	128	5.568266158128028	0.0	0	258	11.807004432532729	0.0
chr12:122459983-122497093	BCL7A	BCL7A	exon_1	0	185	4.419940716787928	0.0	0	153	2.9711937483158177	0.0	0	120	3.3465912153058475	0.0	0	287	6.5377526273241715	0.0	0	174	3.045782807868499	0.0	0	106	2.0514955537590946	0.0	0	590	15.513715979520345	0.0	0	106	1.9662624629479926	0.0	0	150	2.7562921045540287	0.0	0	99	1.94529776340609	0.0	0	119	2.356507679870655	0.0	0	144	3.062166531932094	0.0	0	197	5.669792508757747	0.0	0	154	4.03934249528429	0.0	0	246	5.753247103206683	0.0	0	102	1.8558070600916194	0.0	0	241	6.40751818916734	0.0	0	139	3.45987604419294	0.0	0	273	6.854594448935597	0.0	0	199	4.76332524925896	0.0	0	124	2.8429533818377797	0.0	0	116	3.465454055510644	0.0	0	194	3.6410401509027217	0.0	0	131	2.711829695499865	0.0	0	151	3.2798706548100243	0.0	0	138	3.0634599838318515	0.0	0	173	3.188601455133387	0.0	0	156	3.003179735920237	0.0	0	67	1.2653462678523308	0.0	0	214	4.489140393424953	0.0	0	118	2.529560765292374	0.0	0	217	3.911614120183239	0.0	0	147	3.1845055241174887	0.0	0	49	0.7605766639719752	0.0	0	110	2.180032336297494	0.0	0	85	1.7651845863648612	0.0	0	151	2.7943950417677175	0.0	0	166	2.790703314470493	0.0	0	89	1.8538668822419833	0.0	0	137	2.7739423336028026	0.0	0	56	0.8350848827809216	0.0	0	102	1.6672594987873888	0.0	0	88	1.333009970358394	0.0	0	156	2.6319320937752626	0.0	0	335	7.868606844516303	0.0
chr12:12870771-12871939	CDKN1B	CDKN1B	exon_1	0	253	95.62243150684931	54.0	1	487	207.57020547945206	164.5	7	539	263.2611301369863	291.0	3	766	336.7808219178082	259.5	0	209	67.88955479452055	25.0	0	241	105.73373287671232	118.0	8	1086	500.6429794520548	444.5	0	104	42.97517123287671	44.0	0	128	47.32876712328767	36.0	0	253	102.4041095890411	111.0	0	195	64.375	30.0	0	238	84.04452054794521	50.0	7	573	290.2277397260274	340.0	21	698	388.28339041095893	443.0	6	640	285.1121575342466	262.0	0	195	62.30736301369863	37.0	15	501	274.6232876712329	327.0	0	316	126.30993150684931	76.0	2	431	165.53082191780823	91.0	1	324	123.12671232876713	80.0	2	283	120.08904109589041	97.0	5	332	165.43921232876713	189.5	0	173	65.01797945205479	28.0	0	174	70.06164383561644	51.0	0	285	118.08732876712328	94.0	4	377	160.2054794520548	142.0	0	271	107.27397260273973	72.0	0	182	66.7791095890411	39.0	0	137	48.830479452054796	48.5	0	430	170.8595890410959	139.0	0	351	134.888698630137	103.0	1	593	217.826198630137	128.5	1	246	100.06506849315069	73.0	0	167	72.64212328767124	82.5	0	352	129.78595890410958	111.0	2	232	106.66609589041096	99.0	0	91	32.782534246575345	18.0	0	204	71.66609589041096	40.0	0	175	70.09332191780823	67.0	0	226	82.5556506849315	31.0	0	74	32.99143835616438	37.0	0	132	40.62671232876713	13.0	0	115	46.19263698630137	53.0	0	382	161.22688356164383	127.0	1	549	222.44263698630138	117.0
chr12:49415549-49449143	KMT2D	KMT2D	exon_2	0	675	113.14139429660058	109.0	0	385	88.35393224980652	89.0	0	391	100.94320414359707	108.0	0	714	178.85982615943323	181.0	0	327	64.58302077751979	51.0	0	204	45.74724653211883	46.0	0	2345	466.3255640888254	480.0	0	178	35.88831338929571	34.0	0	221	45.64273382151575	43.0	0	207	44.50586414240638	42.0	0	258	56.618860510805504	49.0	0	502	78.98088944454366	73.0	0	936	185.98850985294993	196.0	0	423	131.9122164672263	140.0	0	1166	220.10942430195868	225.0	0	199	40.028010954337084	32.0	0	695	159.98973030898375	175.0	0	484	88.68884324581771	83.0	0	874	178.66818479490385	185.0	0	437	93.32356968506281	86.0	0	419	79.67931773530988	81.0	0	491	97.73781032327202	104.0	0	407	75.23620289337381	61.0	0	217	45.32228969458832	41.0	0	351	83.66842293266654	82.0	0	347	74.27665654581175	73.0	0	386	79.91659224861583	73.0	0	226	49.689557659105795	44.0	0	120	18.00244091206763	16.0	0	395	103.36810144668691	101.0	0	235	50.46362445674823	47.0	0	476	94.26028457462643	87.0	0	469	82.87721021611002	80.0	0	53	10.522057510269692	10.0	0	242	44.742305173542896	39.0	0	198	47.780377448353875	50.0	0	454	64.65217003036257	58.0	0	312	58.8964398404477	48.0	0	155	31.357921057331666	31.0	0	616	99.9996725605763	93.0	0	67	11.843543489908912	11.0	0	179	35.44549621956302	27.0	0	127	26.686461868190747	27.0	0	293	74.51154968149075	75.0	0	1229	222.8619098648568	225.0
chr12:57490329-57502063	STAT6	STAT6	exon_2	0	147	30.043719106868927	14.0	0	110	26.411198227373443	16.0	0	141	34.604908811999316	24.0	0	225	51.90165331515255	29.0	0	111	17.671808419976138	6.0	0	86	16.024373615135502	8.0	0	489	129.7781660132947	78.0	0	65	10.933015169592636	5.0	0	80	15.231549343787284	6.0	0	73	13.423725924663371	6.0	0	115	17.57772285665587	6.0	0	117	21.163115732060678	9.0	0	206	55.13678200102267	36.0	0	153	46.5128685870121	34.0	0	271	65.77654678711437	36.0	0	86	13.343616839952276	6.0	0	235	62.83662860064769	48.0	0	137	23.223964547468892	9.0	0	216	53.34532128856315	33.0	0	182	33.61309016533151	14.0	0	108	25.3771944775865	15.0	0	124	28.38912561786262	18.0	0	149	20.783364581557866	7.0	0	94	15.739475029827851	7.0	0	133	25.981591955002557	13.0	0	99	23.961820351116415	11.0	0	133	22.98764274757116	9.0	0	110	17.44315663882734	7.0	0	48	7.80569285836032	3.0	0	149	31.735640020453385	15.0	0	87	15.576870632350435	8.0	0	162	28.998465996250214	9.0	0	108	23.753792398159195	11.0	0	23	3.8284472473154936	2.0	0	91	14.769643770240327	6.0	0	76	16.470257371740242	9.0	0	94	15.217487642747571	6.0	0	108	17.645645133799217	5.0	0	67	13.677859212544742	6.0	0	141	28.41060167035964	13.0	0	33	3.8438725072439066	1.0	0	68	11.184591784557696	4.0	0	51	9.370888017726266	3.0	0	116	24.720981762399862	12.0	0	260	65.34694051474348	37.0
chr12:92537799-92539332	BTG1	BTG1	exon_1	0	60	13.180039138943249	8.0	0	119	39.836268754076976	42.0	0	134	58.75994781474233	55.0	0	242	82.38747553816047	78.0	0	74	13.926288323548597	7.0	0	70	23.374429223744293	23.0	0	259	92.40965427266796	87.0	0	47	14.767775603392042	14.0	0	46	11.495759947814742	7.0	0	113	26.76908023483366	20.0	0	80	16.39334637964775	10.0	0	66	15.514024787997391	11.0	0	157	63.382257012394	56.0	0	312	116.92759295499022	108.0	0	122	35.522504892367905	38.0	0	83	18.385518590998043	10.0	0	249	97.57860404435746	98.0	0	124	28.557729941291583	19.0	0	92	27.68232224396608	25.0	0	123	30.03000652315721	21.0	0	73	29.800391389432484	34.0	0	89	36.592302674494455	34.0	0	65	12.357469015003261	4.0	0	76	18.628832354859753	15.0	0	93	31.77495107632094	26.0	0	94	29.510110893672536	30.0	0	84	18.61252446183953	12.0	0	77	17.171559034572734	9.0	0	77	16.958904109589042	12.0	0	152	36.97977821265493	33.0	0	134	32.95759947814742	27.0	0	174	41.018264840182646	27.0	0	78	21.40052185257665	22.0	0	75	27.498369210697977	23.0	0	117	30.343770384866275	25.0	0	59	21.793868232224398	23.0	0	14	3.303979125896934	2.0	0	70	15.042400521852576	7.0	0	92	23.207436399217222	20.0	0	50	10.871493803000652	8.0	0	39	10.232224396607958	7.0	0	51	8.799086757990867	2.0	0	79	17.98173515981735	14.0	0	151	44.58577951728637	41.0	0	129	32.057403783431184	28.0
